,life_expectancy_both,life_expectancy_female,life_expectancy_male,urban_population_percent,urban_population_absolute,population_density_km2,GDPperCapitaPPP,Population,TotalGDP,LogGDPperCapita,LogPopulation,life_expectancy_both_scaled,LogGDPperCapita_scaled,LogPopulation_scaled
Afghanistan,66.5,68.1,64.9,26.7,11704638,67.0,2144.1665,40000360,85767431899.93999,3.3312585064048905,7.602063899960711,-1.0401398975271172,-1.6073929931437885,0.8431164997130243
Albania,80.0,81.7,78.1,70.3,1948831,101.0,16353.809,2849591,46601666942.118996,4.2136189212178214,6.454782530468232,0.883118553816901,0.13184641693073448,-0.5047626730339556
Algeria,76.7,78.1,75.3,74.4,35291973,20.0,14496.865,44761051,648894913605.115,4.16127409462075,7.650900275312562,0.41298871015503025,0.028668414152306258,0.9004917303753454
Angola,65.0,67.5,62.4,68.8,26847887,31.0,7408.1265,34532382,255820254202.323,3.8697083896812887,7.538226536466343,-1.253835281009786,-0.5460429579171013,0.7681174149329761
Antigua and Barbuda,77.9,80.6,74.9,28.5,26823,214.0,25733.295,92316,2375594861.22,4.41049539867433,4.965276978485372,0.5839450169411656,0.51991383559616,-2.2547026307418214
Argentina,77.7,80.2,75.1,59.525786163522014,44010474,17.0,26300.273,45312226,1191723914037.698,4.419960256542161,7.656215397773324,0.555452299143476,0.5385702185640838,0.906736181872566
Armenia,76.0,79.7,71.8,63.8,1882155,104.0,15921.705,2870293,45699958409.565,4.201989572977212,6.457926231851837,0.31326419786311777,0.10892356088008366,-0.5010693073671083
Aruba,76.6,79.1,74.0,44.7,48340,601.0,35696.31,107524,3838210036.4399996,4.552623324530551,5.031505412197983,0.39874235125618446,0.8000652179240918,-2.176894406169699
Australia,84.2,86.0,82.4,86.5,23335357,4.0,57321.562,25956358,1487858984391.196,4.75831801631599,7.414243755483338,1.4814656275683737,1.2055144067028232,0.6224567141580921
Austria,82.3,84.6,80.0,58.6,5337973,111.0,63576.242,8967006,570088543471.452,4.803294853133673,6.952647460354016,1.2107848084903259,1.2941692078708802,0.08015205466796864
Azerbaijan,74.7,77.4,71.9,58.7,6101378,126.0,20111.375,10234332,205826488726.5,4.303441764007912,7.010059501304194,0.12806153217813865,0.30889813580071035,0.14760237358657335
Bahamas,74.9,78.5,71.2,88.4,356391,40.0,29340.473,396326,11628392302.198,4.46746711085812,5.59805256409836,0.15655424997582823,0.6322119911185584,-1.5112886300003832
Bahrain,81.6,82.3,81.0,59.525786163522014,0,142.7159090909091,54954.676,1501708,82525876586.608,4.740004651711246,6.1765854943744705,1.1110602961984135,1.1694165436109158,-0.8316014074906987
Bangladesh,75.2,76.9,73.6,42.6,74837709,142.7159090909091,7441.0693,167658798,1247560734672.7014,3.871635349218033,8.224426348236639,0.19929332667236155,-0.5422446869252694,1.5742966654835473
Barbados,76.5,78.9,73.9,32.5,91766,657.0,15683.885,282111,4424596481.235,4.195453649233339,5.450420020384942,0.38449599235734067,0.09604046235736081,-1.6847341649688465
Belarus,74.8,79.4,69.9,84.4,7589573,44.0,27611.18,9251315,255439723701.7,4.441084967180299,6.966203468593448,0.14230789107698244,0.5802095857109653,0.09607827961799928
Belgium,82.4,84.6,80.3,98.8,11613585,388.0,61873.965,11570794,715930902978.21,4.791507947318624,7.063363161716405,1.2250311673891716,1.2709357867288893,0.21022597718660446
Belize,73.9,76.8,71.2,48.6,205478,19.0,11677.461,395312,4616240462.832,4.067348425519822,5.5969399978863095,0.014090660987382424,-0.15647047305920433,-1.512595724201859
Benin,61.1,62.6,59.7,47.8,7076087,131.0,3464.2886,13413371,46467788242.8706,3.539614064686701,7.12753793689102,-1.8094432780647245,-1.196698913731089,0.28562146880157585
Bhutan,73.5,75.6,71.8,50.3,400623,21.0,13458.8125,775407,10436057424.1875,4.129006742841276,5.8895297172897765,-0.042894774607996705,-0.03493445031379478,-1.168847800256859
Bolivia,68.9,71.5,66.4,70.6,8887268,12.0,9454.198,11937318,112857767960.964,3.9756246935250674,7.076906763255824,-0.6982272839548466,-0.337269075134086,0.2261376261721029
Bosnia and Herzegovina,78.2,81.2,74.9,56.3,1768228,62.0,18544.076,3244869,60173097346.04401,4.268205198511291,6.511197168401248,0.626684093637699,0.23944259092521974,-0.4384841492733792
Botswana,69.4,72.0,66.9,75.6,1937024,5.0,17961.357,2401410,43132582313.37,4.254339144989907,6.380466314799339,-0.6269954894606237,0.21211091744833732,-0.5920727976128856
Brazil,76.2,79.3,73.1,91.4,194451506,25.0,18075.705,209550238,3787768284767.7905,4.257095244923072,8.321288158426976,0.34175691566080735,0.2175435247382733,1.6880943964167017
Brunei,75.7,77.9,73.7,80.1,373730,88.0,78248.8,451676,35343104988.8,4.893477686060347,5.654827014748957,0.27052512116658445,1.4719305109677459,-1.4445873816309942
Bulgaria,76.0,79.5,72.5,77.1,5179498,62.0,29536.678,6877173,203128844451.294,4.470361648477698,6.837409949454768,0.31326419786311777,0.6379174758812448,-0.0552342986631333
Burkina Faso,61.5,63.6,59.3,33.7,8113116,88.0,2486.431,21995205,54689559563.355,3.3955764117946505,7.342328014048908,-1.7524578424693462,-1.4806145997012048,0.5379667776440828
Burundi,64.0,66.1,61.9,14.9,2146694,560.0,836.6656,12965439,10847736800.1984,2.9225519130788147,7.112787226238405,-1.3962988699982317,-2.4130032656997225,0.26829165224517837
Cabo Verde,76.4,79.5,73.3,78.6,414288,131.0,7685.4194,516610,3970364516.2339997,3.885667572308863,5.713162808540329,0.37024963345849693,-0.5145854730702331,-1.376051795184718
Cambodia,71.0,73.5,68.3,26.5,4721141,101.0,6225.5327,16974258,105673798237.2366,3.794176518622766,7.22979079894378,-0.39905374707911123,-0.6949254379743028,0.40575285660198457
Cameroon,64.2,66.5,62.0,59.4,17739676,63.0,4793.556,26915707,129021948784.092,3.680657805317177,7.430005791997371,-1.3678061522005422,-0.9186845919974235,0.6409746830733731
Canada,82.9,85.0,80.7,80.2,32164167,4.0,55781.7,38454011,2145030105398.7,4.746491745666297,7.584941646200264,1.2962629618833945,1.182203392696699,0.8230004847162808
Central African Republic,57.9,59.8,55.7,44.5,2451673,9.0,1128.5524,5112047,5769212910.7628,3.0525217286796433,6.708594838058563,-2.2653267628277516,-2.156816993493705,-0.2065722445262608
Chad,55.4,57.4,53.5,22.4,4700984,17.0,1700.167,17828225,30310959813.574997,3.230491582329066,7.251108106435106,-2.621485735298866,-1.806016823771795,0.4307974145898064
Chile,81.5,83.4,79.7,84.8,16850412,27.0,29105.102,19456275,566276868415.0499,4.463969125626037,7.289059696066042,1.0968139372995698,0.6253170379119517,0.4753846959633438
China,78.4,81.2,75.7,67.5,956553854,151.0,20406.73,1426437224,29108919292117.52,4.309773418398947,9.154252663570873,0.6551768114353885,0.32137859465061713,2.6666995912501332
Colombia,78.1,80.8,75.4,80.5,43010759,48.0,17700.06,51188120,906032795287.2001,4.247974738543996,7.709169179391636,0.6124377347388532,0.19956590032536514,0.9689487316964062
Comoros,67.2,69.4,65.2,33.6,296345,474.0,3441.2117,818133,2815368851.7560997,3.536711390817305,5.9128239106039135,-0.9404153852352048,-1.2024204360291144,-1.1414807054456213
Congo,66.2,67.9,64.5,69.8,4524254,19.0,6263.2114,5892137,36903699628.7618,3.7967970705395713,6.7702728362107,-1.0828789742236506,-0.689760012266917,-0.1341100819420564
Costa Rica,81.2,83.7,78.6,85.2,4390911,101.0,24140.434,5059939,122149123473.526,4.382745073636676,6.704145281242352,1.0540748606030363,0.4652145787645875,-0.21179978950346054
Côte d'Ivoire,62.3,64.5,60.3,59.525786163522014,16021559,103.0,6045.2046,29639680,179177929878.528,3.7814110041458897,7.471873510542634,-1.63848697127859,-0.7200878154963803,0.6901628136734166
Croatia,78.9,82.0,75.8,61.7,2374884,69.0,36914.113,3924558,144871577487.054,4.567192437330241,6.593790751789512,0.7264086059296114,0.8287827065213258,-0.34144939057174595
Curaçao,77.2,81.1,72.9,80.8,149822,418.0,25163.994,185279,4662359644.326,4.400779572961578,5.267826198050937,0.48422050464925315,0.5007627645628829,-1.8992538257432048
Cyprus,82.0,83.9,80.0,61.1,838047,148.0,49929.84,1317269,65771030406.96,4.698360174362171,6.11967447145864,1.1680457317937927,1.087330227178846,-0.8984631072687642
Czech Republic (Czechia),80.1,82.9,77.3,59.525786163522014,7952770,137.0,49995.703,10530619,526485699930.15704,4.698932679464371,7.022453900186735,0.8973649127157448,1.0884587041815528,0.1621638861821162
Denmark,82.2,84.1,80.4,87.4,5248366,141.0,70342.32,5856724,411975553759.68005,4.847216687930061,6.767654758243205,1.1965384495914821,1.380744472080637,-0.13718592092876886
Djibouti,66.4,69.0,63.9,71.3,843657,51.0,5947.861,1121203,6668759596.783,3.774360810616837,6.049684251130437,-1.0543862564259612,-0.7339846021478765,-0.9806908526021421
Dominican Republic,74.0,77.2,70.8,86.4,9950299,238.0,21912.26,11123434,243739577900.84,4.3406871723992175,7.046238882301928,0.028337019886226195,0.3823133536991833,0.19010758235789366
DR Congo,62.2,64.4,60.1,59.525786163522014,50722858,50.0,1313.6182,99148879,130243771963.99779,3.118469156907533,7.996287808335912,-1.6527333301774338,-2.0268266128720587,1.3062689657318065
Ecuador,77.8,80.5,75.1,59.525786163522014,12062680,74.0,13539.711,17682398,239414558706.978,4.131609394596928,7.247541161556412,0.5696986580423198,-0.029804307995376395,0.4266068029053722
Egypt,72.0,74.2,69.8,40.9,48427431,119.0,15579.016,110956950,1728600099361.2,4.1925400233451535,8.045154510282469,-0.25659015809066543,0.09029735230179528,1.3636798254790854
El Salvador,72.5,76.7,68.0,79.9,5085472,307.0,10809.714,6255737,67622727829.218,4.033814203679032,6.796278482083492,-0.1853583635964425,-0.22257049209059812,-0.10355744735924594
Equatorial Guinea,64.1,66.1,62.4,63.6,1232213,69.0,16821.45,1758752,29584758830.4,4.225863429027703,6.245204604309736,-1.382052511099388,0.1559818271127808,-0.7509845060107293
Estonia,79.5,83.3,75.4,66.9,899102,32.0,45063.543,1331699,60011075149.557,4.653825333967029,6.124406073624548,0.8118867593226781,0.9995466545748641,-0.8929042023804429
Eswatini,64.4,67.3,61.4,31.3,392638,73.0,9846.207,1206548,11879921363.436,3.9932689618463204,6.081544604090197,-1.3393134344028528,-0.3024900819799578,-0.9432598375671607
Ethiopia,67.9,71.3,64.6,22.5,30487323,135.0,2588.413,122138537,316144976971.781,3.413033572348627,8.086852713624213,-0.8406908729432924,-1.4462044186530085,1.4126688017841462
Fiji,67.6,69.7,65.6,60.8,567088,51.0,10685.197,916669,9794788848.793,4.0287825335402605,5.962212544586056,-0.8834299496398277,-0.23248852428802216,-1.0834566558226395
Finland,82.2,84.9,79.6,86.7,4874169,19.0,57350.87,5541019,317782260336.53,4.7585400104383915,6.743589639346154,1.1965384495914821,1.2059519840465063,-0.16545873474197023
France,83.6,86.3,80.7,82.5,55018724,122.0,53901.11,66083491,3561973517575.0103,4.731597708821455,7.820092977441706,1.395987474175305,1.152845439392386,1.0992671358206019
Gabon,68.7,71.4,66.2,83.7,2171202,10.0,18523.58,2376684,44024696208.72,4.267724925326052,6.3759714424857385,-0.7267200017525361,0.23849591421879995,-0.597353581330605
Gambia,66.3,68.0,64.5,61.3,1731095,279.0,2777.7961,2575965,7155505530.7365,3.443700363829668,6.410939957907444,-1.068632615324807,-1.3857564526870016,-0.5562709533963184
Georgia,74.8,79.4,69.9,59.525786163522014,2358908,55.0,18915.654,3788400,71660063613.59999,4.27682136141946,6.578455827939842,0.14230789107698244,0.2564260931788724,-0.3594655677905693
Germany,81.7,84.0,79.4,76.5,64345635,241.0,62950.047,83697031,5268732035210.457,4.7989960586985765,7.922710052459372,1.1253066550972592,1.2856957625850167,1.2198264178437321
Ghana,65.9,68.4,63.5,58.6,20539206,154.0,6607.503,32518607,214866793308.32098,3.820037368986215,7.512131933441997,-1.125618050920184,-0.6439505649234909,0.7374602693774999
Greece,82.2,84.6,79.7,89.5,8897137,77.0,33577.51,10579511,355233636397.61005,4.526048487116048,7.024465594456294,1.1965384495914821,0.7476829897872754,0.1645273175773912
Grenada,75.5,78.6,72.7,35.5,41685,345.0,15298.123,116645,1784449557.335,4.184638148415697,5.066866127450825,0.2420324033688949,0.07472179829906492,-2.1353510037488737
Guatemala,72.9,75.2,70.6,56.6,10568383,174.0,11828.33,17598598,208162024681.34,4.072923432457039,7.245478070932538,-0.12837292800106337,-0.14548145812396046,0.4241829886978437
Guinea,61.1,62.3,59.8,40.3,6082701,61.0,3738.8052,13710470,51260776530.444,3.572732838042967,7.137052342820718,-1.8094432780647245,-1.1314177940576104,0.2967994325816148
Guinea-Bissau,64.4,66.7,62.0,46.2,1038474,80.0,2450.978,2058795,5046061251.51,3.389339413038499,6.313613104849627,-1.3393134344028528,-1.492908480812796,-0.6706150381814391
Guyana,70.4,74.2,66.7,26.6,222762,4.0,22865.932,815445,18645909919.74,4.359188907628273,5.911394674141442,-0.48453190047217787,0.4187825181414243,-1.143159838491727
Haiti,65.3,68.7,62.1,61.7,7343428,432.0,3134.9502,11374546,35658635257.6092,3.4962306462713664,7.055934071383689,-1.2110962043132527,-1.2822128939425654,0.20149793853959477
Honduras,73.2,75.9,70.6,58.3,6421078,98.0,6202.981,10289829,63827613780.249,3.792600450904158,7.012408157563844,-0.08563385130453004,-0.6980320586285508,0.15036168349999532
Hong Kong,85.8,88.4,83.1,59.525786163522014,0,142.7159090909091,65884.94,7484547,493118930022.18,4.8187861547707564,6.874165519929057,1.7094073699498862,1.3247044425303809,-0.012052155867035036
Hungary,77.3,80.5,74.1,59.525786163522014,6937818,106.0,38648.0,9707794,375186822512.0,4.587127024478463,6.987120552001421,0.49846686354809694,0.8680761959046913,0.12065263585694876
Iceland,83.2,84.6,81.8,59.525786163522014,334395,4.0,62032.27,372597,23113037705.19,4.7926176739657995,5.571239353811188,1.339002038579928,1.2731231925630315,-1.542790028577571
India,72.5,74.1,71.0,37.1,542742539,492.0,8050.0186,1414203840,11384367216191.424,3.9057968838297357,9.150512012153156,-0.1853583635964425,-0.47490815832783156,2.6623049010960718
Indonesia,71.4,73.6,69.3,59.6,170361295,158.0,12757.074,276758010,3530622413662.74,4.105751074747691,8.442100199192888,-0.34206831148373207,-0.08077419309571725,1.830029965053598
Iran,78.1,80.0,76.2,73.3,67760281,57.0,14951.895,88455443,1322576495914.485,4.174696238539267,7.946724561860041,0.6124377347388532,0.055125087954617215,1.2480397732817416
Iraq,72.5,74.3,70.6,72.4,34038857,108.0,12731.754,43071162,548371439078.148,4.104888238692707,7.634186588581279,-0.1853583635964425,-0.08247494762421641,0.8808557188057692
Ireland,82.7,84.7,80.8,62.1,3294830,77.0,118102.766,5028387,593866413218.442,5.072260069031549,6.701428694928134,1.267770244085705,1.8243322745446793,-0.21499136064831728
Israel,82.8,84.8,80.7,91.4,8698204,440.0,46238.223,8942868,413502324843.56396,4.665001135184884,6.951476820454329,1.2820166029845488,1.0215755144273018,0.07877673281446995
Italy,84.0,86.0,81.9,59.525786163522014,42568771,201.0,50465.086,59729300,3014244261219.8003,4.702991017692176,7.776187425044766,1.4529729097706843,1.096458181114917,1.0476848638362097
Jamaica,71.7,74.3,69.2,60.2,1706544,262.0,9577.164,2837634,27176486189.976,3.9812369243715726,6.452956379130338,-0.29932923478719875,-0.32620668735828445,-0.5069081200185256
Japan,85.0,88.0,82.0,93.1,114645589,338.0,44549.34,125679288,5598929332069.92,4.648841274332909,8.099263711667922,1.59543649875913,0.989722468457381,1.4272498158413336
Jordan,78.1,80.5,76.1,85.1,9802267,130.0,9182.496,11066310,101616347309.76,3.9629607478337423,7.044002831918587,0.6124377347388532,-0.3622312482593001,0.18748056703186997
Kazakhstan,74.7,78.6,70.4,55.1,11494249,8.0,32945.85,19743565,650468530955.25,4.517800716787108,7.295425573867492,0.12806153217813865,0.731425633994204,0.48286362339386807
Kenya,64.0,66.3,61.8,31.9,18371967,101.0,5338.8525,53219122,284129042537.505,3.727447922483501,7.726067705358164,-1.3962988699982317,-0.8264555953068499,0.9888019009416138
Kiribati,66.7,68.5,64.8,57.3,78192,169.0,3049.4739,128346,391387777.1694,3.484224920646832,5.108382338102923,-1.0116471797294277,-1.30587763547243,-2.0865758408661246
Kuwait,80.8,82.1,79.6,91.6,4602914,282.0,50689.043,4360703,221039861877.229,4.704914091899224,6.639556508628594,0.9970894250076572,1.1002487936506178,-0.2876816644422002
Kyrgyzstan,72.0,75.6,68.4,35.3,2573712,38.0,5736.479,6820433,39125270675.407005,3.758645408066192,6.83381194702324,-0.25659015809066543,-0.7649615668919967,-0.05946139819591403
